country,generation,count_exports
Afghanistan,0,41
Afr.Other NS,0,9
Africa N.NES,0,0
Albania,0,90
Algeria,0,21
Angola,0,6
Areas NES,0,118
Argentina,0,163
Armenia,0,56
Asia NES,0,16
Asia West NS,0,5
Australia,0,151
Austria,0,297
Azerbaijan,0,55
Bahamas,0,40
Bahrain,0,51
Bangladesh,0,56
Barbados,0,54
Belarus,0,60
Belgium-Lux,0,308
Belize,0,38
Benin,0,30
Bermuda,0,39
Bolivia,0,75
Bosnia Herzg,0,93
Br.Antr.Terr,0,1
Brazil,0,200
Bulgaria,0,209
Burkina Faso,0,36
Burundi,0,10
CACM NES,0,1
Cambodia,0,38
Cameroon,0,22
Canada,0,195
Cent.Afr.Rep,0,13
Chad,0,8
Chile,0,106
China,0,247
China FTZ,0,98
China HK SAR,0,165
China MC SAR,0,52
Colombia,0,120
Congo,0,20
Costa Rica,0,64
Cote Divoire,0,51
Croatia,0,182
Cuba,0,38
Cyprus,0,109
Czech Rep,0,298
Dem.Rp.Congo,0,21
Denmark,0,207
Djibouti,0,15
Dominican Rp,0,83
EEC NES,0,8
Ecuador,0,73
Egypt,0,129
El Salvador,0,54
Eq.Guinea,0,9
Estonia,0,118
Ethiopia,0,33
Eur.Other NE,0,6
Falkland Is,0,15
Fiji,0,62
Finland,0,144
Fr Ind O,0,11
Fr.Guiana,0,1
"France,Monac",0,333
Gabon,0,14
Gambia,0,17
Georgia,0,77
Germany,0,354
Ghana,0,57
Gibraltar,0,25
Greece,0,206
Greenland,0,21
Guadeloupe,0,7
Guatemala,0,77
Guinea,0,24
GuineaBissau,0,36
Guyana,0,29
Haiti,0,45
Honduras,0,58
Hungary,0,195
Iceland,0,45
India,0,214
Indonesia,0,200
Iran,0,36
Iraq,0,3
Ireland,0,98
Israel,0,140
Italy,0,330
Jamaica,0,49
Japan,0,198
Jordan,0,98
Kazakhstan,0,74
Kenya,0,67
Kiribati,0,28
Korea D P Rp,0,134
Korea Rep.,0,167
Kuwait,0,15
Kyrgyzstan,0,77
LAIA NES,0,0
Lao P.Dem.R,0,42
Latvia,0,103
Lebanon,0,98
Liberia,0,11
Libya,0,16
Lithuania,0,138
Madagascar,0,64
Malawi,0,33
Malaysia,0,101
Mali,0,41
Malta,0,47
Mauritania,0,14
Mauritius,0,50
Mexico,0,145
Mongolia,0,51
Morocco,0,111
Mozambique,0,57
Myanmar,0,78
Nepal,0,53
Neth.Ant.Aru,0,29
Netherlands,0,266
Neutral Zone,0,2
New Calednia,0,20
New Zealand,0,144
Nicaragua,0,48
Niger,0,18
Nigeria,0,25
Norway,0,89
Occ.Pal.Terr,0,5
Oman,0,18
Oth.Oceania,0,24
Pakistan,0,106
Panama,0,113
Papua N.Guin,0,32
Paraguay,0,76
Peru,0,123
Philippines,0,98
Poland,0,285
Portugal,0,200
Qatar,0,16
Rep Moldova,0,98
Romania,0,178
Russian Fed,0,111
Rwanda,0,17
Samoa,0,11
Saudi Arabia,0,22
Senegal,0,49
Seychelles,0,15
Sierra Leone,0,39
Singapore,0,106
Slovakia,0,205
Slovenia,0,222
Somalia,0,17
South Africa,0,171
Spain,0,310
Sri Lanka,0,100
St.Helena,0,8
St.Kt-Nev-An,0,51
St.Pierre Mq,0,6
Sudan,0,32
Suriname,0,27
Sweden,0,206
Switz.Liecht,0,219
Syria,0,51
TFYR Macedna,0,82
Taiwan,0,176
Tajikistan,0,43
Tanzania,0,65
Thailand,0,207
Togo,0,27
Trinidad Tbg,0,35
Tunisia,0,122
Turkey,0,222
Turkmenistan,0,37
UK,0,264
US NES,0,34
USA,0,322
Uganda,0,33
Ukraine,0,182
Untd Arab Em,0,68
Uruguay,0,138
Uzbekistan,0,74
Venezuela,0,52
Viet Nam,0,123
Yemen,0,18
Yugoslavia,0,161
Zambia,0,37
Zimbabwe,0,84
Afghanistan,1,621
Afr.Other NS,1,295
Africa N.NES,1,0
Albania,1,674
Algeria,1,291
Angola,1,109
Areas NES,1,701
Argentina,1,698
Armenia,1,614
Asia NES,1,192
Asia West NS,1,377
Australia,1,691
Austria,1,708
Azerbaijan,1,581
Bahamas,1,620
Bahrain,1,588
Bangladesh,1,460
Barbados,1,650
Belarus,1,595
Belgium-Lux,1,742
Belize,1,599
Benin,1,559
Bermuda,1,598
Bolivia,1,571
Bosnia Herzg,1,646
Br.Antr.Terr,1,43
Brazil,1,735
Bulgaria,1,714
Burkina Faso,1,615
Burundi,1,400
CACM NES,1,171
Cambodia,1,395
Cameroon,1,220
Canada,1,714
Cent.Afr.Rep,1,306
Chad,1,318
Chile,1,660
China,1,712
China FTZ,1,650
China HK SAR,1,684
China MC SAR,1,576
Colombia,1,694
Congo,1,335
Costa Rica,1,610
Cote Divoire,1,504
Croatia,1,696
Cuba,1,567
Cyprus,1,677
Czech Rep,1,728
Dem.Rp.Congo,1,364
Denmark,1,708
Djibouti,1,450
Dominican Rp,1,625
EEC NES,1,481
Ecuador,1,589
Egypt,1,672
El Salvador,1,583
Eq.Guinea,1,131
Estonia,1,685
Ethiopia,1,459
Eur.Other NE,1,407
Falkland Is,1,482
Fiji,1,522
Finland,1,674
Fr Ind O,1,423
Fr.Guiana,1,6
"France,Monac",1,734
Gabon,1,391
Gambia,1,525
Georgia,1,655
Germany,1,721
Ghana,1,535
Gibraltar,1,553
Greece,1,723
Greenland,1,524
Guadeloupe,1,301
Guatemala,1,574
Guinea,1,383
GuineaBissau,1,575
Guyana,1,458
Haiti,1,502
Honduras,1,514
Hungary,1,699
Iceland,1,611
India,1,730
Indonesia,1,705
Iran,1,492
Iraq,1,31
Ireland,1,683
Israel,1,699
Italy,1,721
Jamaica,1,602
Japan,1,635
Jordan,1,685
Kazakhstan,1,586
Kenya,1,610
Kiribati,1,525
Korea D P Rp,1,693
Korea Rep.,1,689
Kuwait,1,272
Kyrgyzstan,1,640
LAIA NES,1,0
Lao P.Dem.R,1,417
Latvia,1,660
Lebanon,1,655
Liberia,1,181
Libya,1,230
Lithuania,1,679
Madagascar,1,377
Malawi,1,265
Malaysia,1,666
Mali,1,641
Malta,1,623
Mauritania,1,193
Mauritius,1,567
Mexico,1,705
Mongolia,1,495
Morocco,1,641
Mozambique,1,603
Myanmar,1,473
Nepal,1,601
Neth.Ant.Aru,1,524
Netherlands,1,749
Neutral Zone,1,190
New Calednia,1,474
New Zealand,1,686
Nicaragua,1,492
Niger,1,534
Nigeria,1,410
Norway,1,649
Occ.Pal.Terr,1,109
Oman,1,428
Oth.Oceania,1,583
Pakistan,1,638
Panama,1,693
Papua N.Guin,1,375
Paraguay,1,597
Peru,1,684
Philippines,1,650
Poland,1,722
Portugal,1,706
Qatar,1,358
Rep Moldova,1,655
Romania,1,698
Russian Fed,1,666
Rwanda,1,405
Samoa,1,243
Saudi Arabia,1,446
Senegal,1,469
Seychelles,1,349
Sierra Leone,1,626
Singapore,1,670
Slovakia,1,690
Slovenia,1,701
Somalia,1,385
South Africa,1,685
Spain,1,728
Sri Lanka,1,603
St.Helena,1,456
St.Kt-Nev-An,1,629
St.Pierre Mq,1,248
Sudan,1,292
Suriname,1,499
Sweden,1,688
Switz.Liecht,1,697
Syria,1,432
TFYR Macedna,1,578
Taiwan,1,670
Tajikistan,1,547
Tanzania,1,524
Thailand,1,709
Togo,1,488
Trinidad Tbg,1,572
Tunisia,1,680
Turkey,1,695
Turkmenistan,1,451
UK,1,726
US NES,1,518
USA,1,742
Uganda,1,415
Ukraine,1,693
Untd Arab Em,1,634
Uruguay,1,684
Uzbekistan,1,641
Venezuela,1,587
Viet Nam,1,657
Yemen,1,297
Yugoslavia,1,698
Zambia,1,587
Zimbabwe,1,647
Afghanistan,2,749
Afr.Other NS,2,712
Africa N.NES,2,0
Albania,2,753
Algeria,2,728
Angola,2,522
Areas NES,2,757
Argentina,2,756
Armenia,2,748
Asia NES,2,684
Asia West NS,2,709
Australia,2,758
Austria,2,761
Azerbaijan,2,747
Bahamas,2,748
Bahrain,2,752
Bangladesh,2,738
Barbados,2,751
Belarus,2,745
Belgium-Lux,2,764
Belize,2,748
Benin,2,750
Bermuda,2,754
Bolivia,2,754
Bosnia Herzg,2,749
Br.Antr.Terr,2,463
Brazil,2,764
Bulgaria,2,756
Burkina Faso,2,753
Burundi,2,722
CACM NES,2,627
Cambodia,2,731
Cameroon,2,659
Canada,2,757
Cent.Afr.Rep,2,709
Chad,2,715
Chile,2,756
China,2,760
China FTZ,2,758
China HK SAR,2,756
China MC SAR,2,738
Colombia,2,760
Congo,2,714
Costa Rica,2,744
Cote Divoire,2,748
Croatia,2,755
Cuba,2,750
Cyprus,2,752
Czech Rep,2,760
Dem.Rp.Congo,2,735
Denmark,2,758
Djibouti,2,739
Dominican Rp,2,755
EEC NES,2,733
Ecuador,2,756
Egypt,2,755
El Salvador,2,741
Eq.Guinea,2,579
Estonia,2,756
Ethiopia,2,736
Eur.Other NE,2,714
Falkland Is,2,739
Fiji,2,750
Finland,2,755
Fr Ind O,2,727
Fr.Guiana,2,256
"France,Monac",2,762
Gabon,2,725
Gambia,2,745
Georgia,2,752
Germany,2,761
Ghana,2,747
Gibraltar,2,742
Greece,2,759
Greenland,2,740
Guadeloupe,2,717
Guatemala,2,747
Guinea,2,735
GuineaBissau,2,753
Guyana,2,738
Haiti,2,738
Honduras,2,744
Hungary,2,758
Iceland,2,750
India,2,764
Indonesia,2,760
Iran,2,744
Iraq,2,415
Ireland,2,757
Israel,2,754
Italy,2,760
Jamaica,2,753
Japan,2,755
Jordan,2,757
Kazakhstan,2,753
Kenya,2,746
Kiribati,2,749
Korea D P Rp,2,756
Korea Rep.,2,755
Kuwait,2,705
Kyrgyzstan,2,757
LAIA NES,2,0
Lao P.Dem.R,2,738
Latvia,2,754
Lebanon,2,750
Liberia,2,703
Libya,2,695
Lithuania,2,756
Madagascar,2,722
Malawi,2,696
Malaysia,2,757
Mali,2,755
Malta,2,751
Mauritania,2,712
Mauritius,2,746
Mexico,2,757
Mongolia,2,747
Morocco,2,751
Mozambique,2,751
Myanmar,2,751
Nepal,2,751
Neth.Ant.Aru,2,741
Netherlands,2,764
Neutral Zone,2,649
New Calednia,2,746
New Zealand,2,752
Nicaragua,2,750
Niger,2,749
Nigeria,2,733
Norway,2,749
Occ.Pal.Terr,2,631
Oman,2,724
Oth.Oceania,2,745
Pakistan,2,751
Panama,2,757
Papua N.Guin,2,743
Paraguay,2,760
Peru,2,756
Philippines,2,758
Poland,2,760
Portugal,2,761
Qatar,2,722
Rep Moldova,2,750
Romania,2,759
Russian Fed,2,754
Rwanda,2,734
Samoa,2,689
Saudi Arabia,2,739
Senegal,2,737
Seychelles,2,728
Sierra Leone,2,755
Singapore,2,759
Slovakia,2,759
Slovenia,2,757
Somalia,2,734
South Africa,2,755
Spain,2,761
Sri Lanka,2,750
St.Helena,2,727
St.Kt-Nev-An,2,753
St.Pierre Mq,2,709
Sudan,2,686
Suriname,2,748
Sweden,2,756
Switz.Liecht,2,759
Syria,2,735
TFYR Macedna,2,749
Taiwan,2,758
Tajikistan,2,742
Tanzania,2,751
Thailand,2,762
Togo,2,741
Trinidad Tbg,2,747
Tunisia,2,756
Turkey,2,756
Turkmenistan,2,742
UK,2,758
US NES,2,747
USA,2,761
Uganda,2,737
Ukraine,2,753
Untd Arab Em,2,756
Uruguay,2,755
Uzbekistan,2,755
Venezuela,2,751
Viet Nam,2,758
Yemen,2,731
Yugoslavia,2,760
Zambia,2,752
Zimbabwe,2,756
Afghanistan,3,763
